stop_id,year,average_lateness,stop_lat,stop_lon,cluster,date
41187,2022,329.09429388364,42.309302,-71.1048,4,2022-01-01
41391,2022,340.39092495637,42.340553,-71.088908,4,2022-01-01
49917,2022,401.94167066730677,42.479098,-71.151629,4,2022-01-01
49927,2022,420.5999522900763,42.468052,-71.178464,4,2022-01-01
71855,2022,658.6624985725705,42.348245,-71.076218,4,2022-01-01
77777,2022,348.17016988194644,42.332906,-71.081253,4,2022-01-01
85568,2022,673.9333333333333,42.277802,-71.167005,4,2022-01-01
91391,2022,374.34630972971576,42.336067,-71.100187,4,2022-01-01
7,2023,472.4679889722775,42.333043,-71.081108,4,2023-01-01
20,2023,573.6919060052219,42.335377,-71.045728,4,2023-01-01
21,2023,484.50466218885816,42.335423,-71.044136,4,2023-01-01
25,2023,537.0027825150346,42.335567,-71.03554,4,2023-01-01
58,2023,1034.0,42.334948,-71.074931,4,2023-01-01
59,2023,456.9950799132109,42.336295,-71.076941,4,2023-01-01
62,2023,458.3694064492171,42.332045,-71.081738,4,2023-01-01
79,2023,456.6506803138024,42.347671,-71.088092,4,2023-01-01
93,2023,440.5140619329866,42.348005,-71.088033,4,2023-01-01
97,2023,486.1179693648968,42.359349,-71.093716,4,2023-01-01
102,2023,532.4617597190263,42.365291,-71.103404,4,2023-01-01
108,2023,521.9669310963193,42.37027,-71.112998,4,2023-01-01
134,2023,561.3417593528817,42.320775,-71.061892,4,2023-01-01
157,2023,620.25,42.335582,-71.045971,4,2023-01-01
180,2023,615.8191601976006,42.31105,-71.05668,4,2023-01-01
187,2023,443.61724506956125,42.341553,-71.083328,4,2023-01-01
190,2023,543.8645680819913,42.358789,-71.056733,4,2023-01-01
236,2023,432.9725519287834,42.359022,-71.052369,4,2023-01-01
243,2023,465.1924422673198,42.348896,-71.039266,4,2023-01-01
258,2023,558.8064495114006,42.332673,-71.05098,4,2023-01-01
268,2023,616.3027210884354,42.331676,-71.029247,4,2023-01-01
419,2023,449.3100385700986,42.295595,-71.087913,4,2023-01-01
550,2023,692.3519835841313,42.305093,-71.076623,4,2023-01-01
552,2023,667.0827057373682,42.30382,-71.071992,4,2023-01-01
845,2023,453.8838709677419,42.280833,-71.158368,4,2023-01-01
918,2023,402.0342988693321,42.349043,-71.154176,4,2023-01-01
926,2023,384.2530115119867,42.353347,-71.136687,4,2023-01-01
931,2023,493.35629715612305,42.35214,-71.126219,4,2023-01-01
937,2023,514.3517047431288,42.350075,-71.108712,4,2023-01-01
959,2023,403.93097843438886,42.352224,-71.123515,4,2023-01-01
964,2023,558.7021276595744,42.353344,-71.133875,4,2023-01-01
966,2023,447.9386300322281,42.353442,-71.137948,4,2023-01-01
973,2023,492.6048125867654,42.349206,-71.15404,4,2023-01-01
979,2023,500.95786418015484,42.350609,-71.168636,4,2023-01-01
987,2023,503.60768054101925,42.355606,-71.182247,4,2023-01-01
1077,2023,406.72865971417536,42.361858,-71.144012,4,2023-01-01
1084,2023,470.8156447950281,42.349027,-71.153531,4,2023-01-01
1111,2023,489.1329148306875,42.353931,-71.136365,4,2023-01-01
1188,2023,475.1245388528601,42.315207,-71.097652,4,2023-01-01
1190,2023,443.6063172350652,42.35889,-71.123853,4,2023-01-01
1222,2023,431.0433173139369,42.331191,-71.094468,4,2023-01-01
1276,2023,404.0226604393703,42.339516,-71.135747,4,2023-01-01
1292,2023,620.8730837417875,42.339199,-71.135066,4,2023-01-01
1308,2023,399.13756506062634,42.342499,-71.121845,4,2023-01-01
1323,2023,495.7895133474392,42.331479,-71.095333,4,2023-01-01
1346,2023,468.7200225182961,42.317285,-71.086546,4,2023-01-01
1354,2023,452.9233845769279,42.310329,-71.091869,4,2023-01-01
1372,2023,460.2526207546631,42.341909,-71.121143,4,2023-01-01
1378,2023,477.0768747321811,42.350034,-71.130722,4,2023-01-01
1521,2023,404.6645249418193,42.33851,-71.107918,4,2023-01-01
1526,2023,468.4660263729375,42.331857,-71.116931,4,2023-01-01
1533,2023,407.23736263736265,42.329739,-71.128527,4,2023-01-01
1535,2023,438.0136580706781,42.326526,-71.143465,4,2023-01-01
1540,2023,465.88024066469296,42.32361,-71.163925,4,2023-01-01
1555,2023,443.29609835255934,42.331641,-71.116532,4,2023-01-01
1563,2023,534.609692866075,42.346694,-71.098982,4,2023-01-01
1577,2023,439.55724501317275,42.32505,-71.075288,4,2023-01-01
1583,2023,511.91543242528434,42.314697,-71.078834,4,2023-01-01
1586,2023,532.1736519041648,42.310143,-71.082173,4,2023-01-01
1741,2023,422.098786780852,42.309876,-71.091897,4,2023-01-01
1773,2023,463.88346515654985,42.349273,-71.109993,4,2023-01-01
1775,2023,696.9680060940773,42.346727,-71.105259,4,2023-01-01
1778,2023,781.983975581839,42.340455,-71.105828,4,2023-01-01
1779,2023,434.26442825077635,42.338701,-71.107013,4,2023-01-01
1780,2023,806.3379824226213,42.337436,-71.104448,4,2023-01-01
1784,2023,461.2165040232837,42.337416,-71.095079,4,2023-01-01
1787,2023,664.0,42.337524,-71.075479,4,2023-01-01
1799,2023,509.4992472794529,42.337523,-71.095101,4,2023-01-01
1804,2023,556.0547056686047,42.339097,-71.106836,4,2023-01-01
1807,2023,408.2901819560273,42.345214,-71.104266,4,2023-01-01
1808,2023,421.55626752102523,42.3471,-71.105198,4,2023-01-01
1994,2023,523.3091670041853,42.346188,-71.152449,4,2023-01-01
2271,2023,402.5089134723788,42.397954,-71.130684,4,2023-01-01
2291,2023,450.1749971792847,42.423592,-71.17585,4,2023-01-01
2439,2023,409.1411698537683,42.373018,-71.100107,4,2023-01-01
2460,2023,435.6617268041237,42.388534,-71.118917,4,2023-01-01
2561,2023,420.6035045559227,42.363592,-71.129142,4,2023-01-01
2591,2023,417.7266966098566,42.383284,-71.107022,4,2023-01-01
2919,2023,444.11444239852693,42.305519,-71.080507,4,2023-01-01
2931,2023,465.5815503992768,42.31118,-71.070077,4,2023-01-01
4404,2023,447.8662262592898,42.258447,-71.081447,4,2023-01-01
5091,2023,482.8086042532388,42.337629,-71.072068,4,2023-01-01
5093,2023,686.0,42.341308,-71.069417,4,2023-01-01
5790,2023,1090.391812865497,42.409716,-71.010688,4,2023-01-01
6550,2023,696.4271268637466,42.352188,-71.057992,4,2023-01-01
6555,2023,438.9828214759169,42.35068,-71.059655,4,2023-01-01
7828,2023,459.8618055555556,42.345698,-71.257536,4,2023-01-01
7838,2023,542.6743809303402,42.357715,-71.23961,4,2023-01-01
8394,2023,399.675799086758,42.283723,-71.169493,4,2023-01-01
8476,2023,453.42013191855466,42.292343,-71.183913,4,2023-01-01
8486,2023,479.75028604118995,42.298252,-71.185078,4,2023-01-01
8495,2023,528.7966046359778,42.312107,-71.196478,4,2023-01-01
8504,2023,503.03883774453396,42.329848,-71.194786,4,2023-01-01
8511,2023,487.5513078470825,42.34502,-71.18996,4,2023-01-01
8522,2023,412.00027987685417,42.344935,-71.19017,4,2023-01-01
8528,2023,416.04977628635345,42.32989,-71.19488,4,2023-01-01
8537,2023,405.74614738021853,42.312077,-71.196618,4,2023-01-01
8815,2023,437.8615655161132,42.365985,-71.185281,4,2023-01-01
8825,2023,436.5031894013739,42.374606,-71.210156,4,2023-01-01
8949,2023,506.55882352941177,42.255436,-71.143062,4,2023-01-01
9434,2023,706.3857414448669,42.345304,-71.104558,4,2023-01-01
9441,2023,705.3721294363256,42.343746,-71.102093,4,2023-01-01
10006,2023,762.6724484665662,42.335814,-71.070135,4,2023-01-01
10008,2023,717.500912121784,42.339915,-71.064356,4,2023-01-01
11384,2023,455.5898316168056,42.347346,-71.075956,4,2023-01-01
11735,2023,588.6836372247218,42.290104,-71.082689,4,2023-01-01
11771,2023,534.3108031137269,42.36023,-71.094815,4,2023-01-01
11891,2023,537.127286027798,42.357495,-71.056251,4,2023-01-01
12231,2023,626.129552238806,42.363253,-71.089678,4,2023-01-01
12352,2023,422.78661604176557,42.405298,-71.164065,4,2023-01-01
13321,2023,584.5139784946236,42.316392,-71.083219,4,2023-01-01
13618,2023,432.24497270899167,42.24757,-71.173924,4,2023-01-01
15095,2023,541.4669392448732,42.345582,-71.064848,4,2023-01-01
19031,2023,471.0129384703853,42.355938,-71.185299,4,2023-01-01
21772,2023,508.780230708035,42.354929,-71.10512,4,2023-01-01
21773,2023,567.6904240493728,42.360559,-71.093953,4,2023-01-01
22173,2023,567.1291674604687,42.353995,-71.104785,4,2023-01-01
29051,2023,476.8284961811957,42.327382,-71.061681,4,2023-01-01
30294,2023,450.3055705422174,42.339547,-71.057089,4,2023-01-01
34509,2023,556.4,42.349099,-71.096313,4,2023-01-01
34579,2023,488.29124004550624,42.363061,-71.088174,4,2023-01-01
36541,2023,518.8789306369451,42.343942,-71.065731,4,2023-01-01
65541,2023,531.2538980684199,42.345765,-71.233474,4,2023-01-01
65547,2023,581.2443208159481,42.347531,-71.245414,4,2023-01-01
71855,2023,589.9347502105877,42.348245,-71.076218,4,2023-01-01
7,2024,420.25726356359326,42.333043,-71.081108,0,2024-01-01
8,2024,394.9135135135135,42.331202,-71.070724,0,2024-01-01
20,2024,558.1979727589484,42.335377,-71.045728,0,2024-01-01
21,2024,475.05650632130744,42.335423,-71.044136,0,2024-01-01
25,2024,535.2623390399858,42.335567,-71.03554,0,2024-01-01
58,2024,414.75555555555553,42.334948,-71.074931,0,2024-01-01
59,2024,445.16783416273097,42.336295,-71.076941,0,2024-01-01
62,2024,467.36132250431666,42.332045,-71.081738,0,2024-01-01
75,2024,366.7246815286624,42.358673,-71.093551,0,2024-01-01
79,2024,437.21118091249446,42.347671,-71.088092,0,2024-01-01
93,2024,386.19732192672495,42.348005,-71.088033,0,2024-01-01
97,2024,410.8275101711233,42.359349,-71.093716,0,2024-01-01
102,2024,447.71582644371233,42.365291,-71.103404,0,2024-01-01
108,2024,437.06188134221503,42.37027,-71.112998,0,2024-01-01
128,2024,360.7142857142857,42.327984,-71.067744,0,2024-01-01
134,2024,375.3884356790677,42.320775,-71.061892,0,2024-01-01
